Country/Region,Under-5s,5-14 years,15-24 years,25-64 years,65+ years
Afghanistan,0.15530366,0.290016177,0.209338914,0.320409851,0.024931399
Albania,0.058762339,0.121506408,0.162572622,0.531791587,0.125367044
Algeria,0.116965996,0.169564156,0.165896526,0.48887547,0.058697851
Andorra,,,,,
Angola,0.185158029,0.285644994,0.191284025,0.314849814,0.023063138
Anguilla,,,,,
Antigua and Barbuda,0.080421925,0.165167179,0.169080192,0.519500015,0.06583069
Argentina,0.085636352,0.166323025,0.158800919,0.479976687,0.109263017
Armenia,0.070672106,0.127773531,0.143972643,0.548489347,0.109092374
Aruba,0.053928945,0.13310204,0.142561409,0.549036333,0.121371273
Australia,0.064922094,0.12343058,0.132100153,0.5297769,0.149770273
Austria,0.04689827,0.094301342,0.116196665,0.554198881,0.188404842
Azerbaijan,0.090086035,0.139018791,0.167469683,0.546044371,0.05738112
Bahamas,0.072198181,0.134593809,0.16764899,0.54249841,0.083060609
Bahrain,0.077435297,0.131061227,0.131683013,0.636576752,0.02324371
Bangladesh,0.094626732,0.199591291,0.194292183,0.461108105,0.05038169
Barbados,0.061083609,0.132574758,0.128806511,0.535896868,0.141638255
Belarus,0.060710399,0.100648951,0.113225049,0.582062166,0.143353435
Belgium,0.057136377,0.112905189,0.117404061,0.531131278,0.181423094
Belize,0.109811627,0.214730244,0.206199483,0.431634232,0.037624413
Benin,0.164433519,0.265937383,0.198441615,0.338910294,0.032277189
Bermuda,,,,,
Bhutan,0.089793316,0.184384787,0.199086598,0.479939953,0.046795346
Bolivia,0.110545045,0.213907329,0.192823952,0.418069028,0.064654646
"Bonaire, Sint Eustatius and Saba",,,,,
Bosnia and Herzegovina,0.045916796,0.098860536,0.133052372,0.564999727,0.157170568
Botswana,0.115675062,0.202240905,0.194385109,0.450439232,0.037259692
Brazil,0.072222158,0.152880636,0.168071027,0.527221949,0.07960423
British Virgin Islands,0.066900369,0.137077646,0.129628395,0.492260209,0.174133382
Brunei,0.080147626,0.156518386,0.170093068,0.552289351,0.040951569
Bulgaria,0.046752332,0.093312672,0.097653244,0.561517018,0.200764734
Burkina Faso,0.174551523,0.281187882,0.1993383,0.320843556,0.02407874
Burma,0.08688092,0.191891946,0.178355374,0.489686953,0.053184807
Burundi,0.181705357,0.265821574,0.198292623,0.329155616,0.02502483
Cabo Verde,0.102765367,0.20890089,0.214485291,0.429135713,0.044712739
Cambodia,0.113715847,0.202305764,0.206033458,0.436751799,0.041193133
Cameroon,0.163854623,0.266511338,0.198084287,0.339930829,0.031618923
Canada,0.054066084,0.105713178,0.128245656,0.550498086,0.161476996
Cayman Islands,,,,,
Central African Republic,0.160205671,0.276977849,0.203727591,0.322490046,0.036598843
Chad,0.185635472,0.290161551,0.202973315,0.296603291,0.024626371
Channel Islands,0.048150319,0.098877612,0.113099818,0.566940241,0.172932009
Chile,0.067386111,0.14099679,0.154523971,0.532900692,0.104192436
China,0.061476693,0.115379241,0.130353543,0.596029076,0.096761447
Colombia,0.077511466,0.16535624,0.171432996,0.515309257,0.070390042
Comoros,0.150828891,0.250590411,0.198684373,0.370963593,0.028932732
Congo (Brazzaville),0.162931816,0.261346276,0.18019264,0.361870172,0.033659097
Congo (Kinshasa),0.18503195,0.2784086,0.188876688,0.317505466,0.030177297
Costa Rica,0.072865388,0.15022093,0.168454229,0.51944881,0.089010643
Cote d'Ivoire,0.162912459,0.2641124,0.202116566,0.342007555,0.028851021
Croatia,0.048388627,0.09989103,0.114086443,0.548802224,0.188831676
Cuba,0.054911638,0.107969667,0.125740222,0.572325081,0.139053392
Curacao,0.063027656,0.125631289,0.124580723,0.53177647,0.154983862
Cyprus,0.056778511,0.112175437,0.159786733,0.542931218,0.128328101
Czechia,0.052090947,0.099216297,0.100915788,0.567831587,0.179945382
Denmark,0.051870772,0.116560828,0.131673257,0.509420702,0.190474441
Diamond Princess,,,,,
Djibouti,0.109037603,0.211037358,0.205526335,0.433395442,0.041003263
Dominica,,,,,
Dominican Republic,0.100891361,0.198697066,0.182165105,0.451719702,0.066526766
Ecuador,0.099745806,0.19044691,0.182157951,0.460607253,0.067042079
Egypt,0.131954406,0.19941422,0.174274883,0.443724271,0.05063222
El Salvador,0.091890221,0.191187518,0.2048701,0.432740676,0.079311484
Equatorial Guinea,0.150021823,0.224226192,0.178946715,0.417890588,0.028914683
Eritrea,0.153594942,0.269382601,0.18966403,0.350817912,0.036540515
Estonia,0.05403928,0.107265831,0.102345359,0.548131597,0.188217933
Eswatini,0.135185378,0.24128002,0.226613728,0.365826365,0.031094509
Ethiopia,0.149200135,0.266907384,0.215103821,0.33398468,0.03480398
Falkland Islands (Malvinas),,,,,
Faroe Islands,,,,,
Fiji,0.098727903,0.188716235,0.171793053,0.482450801,0.058312008
Finland,0.054755903,0.10914971,0.118573701,0.51487605,0.202644635
France,0.060094853,0.122556485,0.116565425,0.511398781,0.189384457
French Guiana,0.120119394,0.219236967,0.168799848,0.44387419,0.047969601
French Polynesia,0.079138608,0.160117397,0.167380892,0.521027045,0.072336058
Gabon,0.138287979,0.219326227,0.186337508,0.410901602,0.045146684
Gambia,0.177980775,0.278713485,0.198397544,0.321614187,0.023294009
Georgia,0.069672612,0.117465312,0.130298336,0.536408991,0.146154749
Germany,0.043053398,0.088134205,0.106147567,0.551489198,0.211175632
Ghana,0.14584654,0.242115518,0.197262601,0.380911329,0.033864013
Gibraltar,,,,,
Greece,0.044886876,0.10057275,0.100299078,0.554762966,0.199478329
Greenland,,,,,
Grenada,0.093013677,0.171826292,0.187665578,0.475927469,0.071566985
Guadeloupe,0.05899631,0.135309868,0.141754992,0.500051064,0.163887766
Guatemala,0.122691137,0.239625658,0.213226835,0.379383168,0.045073201
Guinea,0.161221658,0.265280176,0.198184465,0.344764142,0.030549559
Guinea-Bissau,0.161248126,0.255688987,0.200662967,0.353631068,0.028768852
Guyana,0.097806937,0.200441371,0.209553762,0.44186573,0.0503322
Haiti,0.115538787,0.221874845,0.201963466,0.414314138,0.046308764
Holy See,,,,,
Honduras,0.106539585,0.223371297,0.210383437,0.415560993,0.044144688
Hungary,0.045679725,0.098730929,0.116774096,0.56385837,0.174956881
Iceland,0.068410231,0.13471898,0.142794851,0.5169345,0.137141438
India,0.09275041,0.193826682,0.184494667,0.472565788,0.056362453
Indonesia,0.095259834,0.183327253,0.171869421,0.498592812,0.050950679
Iran,0.08693863,0.149382425,0.158906749,0.554425895,0.050346301
Iraq,0.155137265,0.251473731,0.196683133,0.365967811,0.03073806
Ireland,0.075078078,0.142273995,0.111567673,0.538781564,0.13229869
Isle of Man,,,,,
Israel,0.10292841,0.17566368,0.148207705,0.460963151,0.112237054
Italy,0.042916021,0.094351086,0.09574255,0.543361636,0.223628707
Jamaica,0.071934453,0.162604363,0.190020383,0.482409067,0.093031734
Japan,0.042160881,0.087751324,0.094696222,0.515237926,0.260153647
Jordan,0.1312231,0.22905086,0.191934604,0.410161604,0.037629832
Kazakhstan,0.112174957,0.155584381,0.149027012,0.515674564,0.067539086
Kenya,0.148132921,0.265315824,0.20129816,0.359449232,0.025803864
"Korea, South",0.044123946,0.094922087,0.133291063,0.598008245,0.129654659
Kosovo,0.05286919,0.113806139,0.126128989,0.544142881,0.163052801
Kuwait,0.078963482,0.129895518,0.113621546,0.656878383,0.02064107
Kyrgyzstan,0.127474831,0.18351874,0.183802096,0.462413226,0.042791107
Laos,0.11579169,0.221329127,0.212008253,0.412017196,0.038853734
Latvia,0.050591093,0.100718486,0.106286412,0.549567589,0.19283642
Lebanon,0.07881187,0.161094657,0.194749909,0.483914409,0.081429157
Lesotho,0.128794355,0.227727744,0.222102918,0.376974173,0.04440081
Liberia,0.156597189,0.267254064,0.192370424,0.353542887,0.030235435
Libya,0.101027513,0.184993316,0.17325113,0.497497897,0.043230144
Liechtenstein,,,,,
Lithuania,0.051654441,0.094307633,0.128373295,0.538813735,0.186850896
Luxembourg,0.055425671,0.108352845,0.123504387,0.572774865,0.139942231
Madagascar,0.152661037,0.263772749,0.204398408,0.350827273,0.028340534
Malawi,0.164329782,0.282195169,0.209635051,0.313793008,0.03004699
Malaysia,0.083628944,0.16600935,0.196766641,0.494969088,0.058625978
Maldives,0.091832516,0.142269534,0.184867221,0.540003298,0.04102743
Mali,0.187437818,0.291858297,0.191275542,0.304088785,0.025339558
Malta,0.049836769,0.09429722,0.124443426,0.547755463,0.183667122
Martinique,0.051559965,0.132012585,0.107209687,0.531269276,0.177948487
Mauritania,0.153064277,0.249326633,0.193988008,0.372619067,0.031002015
Mauritius,0.054743477,0.139259331,0.156966182,0.549490415,0.099540595
Mayotte,0.147562703,0.269223398,0.182297309,0.363336389,0.037580202
Mexico,0.09161155,0.183112362,0.182946353,0.47751197,0.064817765
Moldova,0.054653245,0.102616343,0.141319682,0.602027801,0.099382929
Monaco,,,,,
Mongolia,0.120622384,0.167177549,0.167939421,0.505412551,0.038848095
Montenegro,0.05918227,0.125400762,0.135568262,0.540911971,0.138936734
Montserrat,,,,,
Morocco,0.099323249,0.177271239,0.173703275,0.485740672,0.063961567
Mozambique,0.17293447,0.279055522,0.197233442,0.319449456,0.03132711
MS Zaandam,,,,,
Namibia,0.138122686,0.232117436,0.21399132,0.380970423,0.034798135
Nepal,0.097883494,0.227665787,0.208174843,0.411514306,0.05476157
Netherlands,0.052583703,0.114972407,0.122373535,0.530868467,0.179201888
New Caledonia,0.078887811,0.14943272,0.161711094,0.512551516,0.097416859
New Zealand,0.066893024,0.132815419,0.142656503,0.511163429,0.146471625
Nicaragua,0.099563386,0.200779509,0.196397094,0.452406801,0.050853209
Niger,0.2043577,0.297664041,0.180024039,0.292530846,0.025423375
Nigeria,0.17170141,0.269448278,0.18942531,0.3420631,0.027361901
North Macedonia,0.055792119,0.112608137,0.137155727,0.569190327,0.12525369
Norway,0.059414566,0.120208599,0.129780824,0.527565677,0.163030334
Oman,0.091493425,0.130229463,0.1469526,0.608180846,0.023143666
Pakistan,0.130488985,0.219704495,0.199028582,0.405928919,0.044849018
Panama,0.097213604,0.181394264,0.16799324,0.477847825,0.075551068
Papua New Guinea,0.129360687,0.236801192,0.193542282,0.403845161,0.036450679
Paraguay,0.101487562,0.199850914,0.20133108,0.437126221,0.060204223
Peru,0.096250874,0.182705361,0.178062166,0.474730159,0.068251441
Philippines,0.112414995,0.20987681,0.194835739,0.437153329,0.045719126
Poland,0.049722142,0.099116022,0.118049244,0.576996226,0.156116365
Portugal,0.042463804,0.098304905,0.104873142,0.546971807,0.207386342
Qatar,0.051336288,0.086927105,0.146124643,0.704714292,0.010897673
Reunion,0.079901501,0.162851547,0.14705402,0.506713862,0.10347907
Romania,0.048863939,0.10530316,0.112487932,0.563347764,0.169997204
Russia,0.065017269,0.10330912,0.106040848,0.590746523,0.134886241
Rwanda,0.149149585,0.258856467,0.190322104,0.373584178,0.028087666
Saint Barthelemy,0.05899631,0.135309868,0.141754992,0.500051064,0.163887766
Saint Kitts and Nevis,,,,,
Saint Lucia,0.060844441,0.136598084,0.182821123,0.525789194,0.093947158
Saint Pierre and Miquelon,,,,,
Saint Vincent and the Grenadines,0.077757983,0.167539171,0.176309899,0.50511169,0.073281257
San Marino,,,,,
Sao Tome and Principe,0.158330478,0.276160427,0.194601975,0.340879455,0.030027665
Saudi Arabia,0.093808267,0.166176984,0.154672108,0.554809618,0.030533023
Senegal,0.166441277,0.264161954,0.197304613,0.342144692,0.029947465
Serbia,0.05286919,0.113806139,0.126128989,0.544142881,0.163052801
Seychelles,0.083100425,0.134347464,0.131765911,0.568741866,0.082044334
Sierra Leone,0.156863214,0.270469841,0.200848829,0.34679941,0.025018706
Singapore,0.047678683,0.107350293,0.131779489,0.596330038,0.116861496
Sint Maarten,,,,,
Slovakia,0.052453267,0.100382438,0.120244487,0.586346855,0.140572954
Slovenia,0.052523921,0.094572072,0.0977483,0.574808607,0.180347101
Somalia,0.183668846,0.282997016,0.198921868,0.307540935,0.026871335
South Africa,0.102435169,0.191017598,0.186221448,0.469513381,0.050812403
South Sudan,0.158425472,0.262417801,0.203642173,0.340815742,0.034698812
Spain,0.046758302,0.102320819,0.093423863,0.568721757,0.188775258
Sri Lanka,0.079318955,0.166431802,0.150602297,0.510657264,0.092989682
St Martin,0.05899631,0.135309868,0.141754992,0.500051064,0.163887766
Sudan,0.151599148,0.263277191,0.201088222,0.349478727,0.034556712
Suriname,0.090777791,0.178638053,0.176264624,0.487521872,0.06679766
Sweden,0.060162963,0.112807771,0.123269523,0.50778225,0.195977494
Switzerland,0.051356113,0.096491621,0.113616856,0.558569595,0.179965814
Syria,0.119431788,0.261484836,0.198135499,0.380545447,0.04040243
Taiwan,0.043621847,0.094054502,0.13324413,0.606485165,0.122594356
Tajikistan,0.136284427,0.214927595,0.200288677,0.415280493,0.033218808
Tanzania,0.174816101,0.277110837,0.193833321,0.323136579,0.031103161
Thailand,0.055985077,0.12393384,0.140530662,0.573903064,0.105647357
Timor-Leste,0.164646081,0.275316948,0.211831484,0.313639979,0.034565508
Togo,0.15671741,0.263585842,0.191385991,0.360418142,0.027892615
Trinidad and Tobago,0.070659191,0.137139988,0.134525459,0.563557465,0.094117898
Tunisia,0.090806793,0.146114559,0.155459083,0.531523345,0.076096221
Turkey,0.086115079,0.169719435,0.165901875,0.500246067,0.078017544
Turks and Caicos Islands,,,,,
Uganda,0.187125752,0.29515156,0.203935248,0.292040652,0.021746789
Ukraine,0.053975413,0.096624112,0.108256304,0.582277024,0.158867146
United Arab Emirates,0.051414078,0.086451266,0.102025255,0.749890816,0.010218584
United Kingdom,0.061821078,0.114025657,0.121630568,0.521307542,0.181215155
Uruguay,0.070160674,0.143988784,0.151426527,0.490077959,0.144346057
US,0.062047029,0.130081574,0.13830838,0.523159583,0.146403434
Uzbekistan,0.103214838,0.177331782,0.193796098,0.483342099,0.042315183
Venezuela,0.095482947,0.186438582,0.177223407,0.478279792,0.062575273
Vietnam,0.08285488,0.148082323,0.16883897,0.532778349,0.067445477
West Bank and Gaza,0.149886208,0.25143066,0.217485359,0.351459526,0.029738248
Western Sahara,0.103780577,0.181370388,0.180410706,0.509022911,0.025415419
Yemen,0.149228456,0.256481755,0.219845352,0.345874179,0.028570259
Zambia,0.170823337,0.282957572,0.205799702,0.315398439,0.025020951
Zimbabwe,0.158801571,0.255904011,0.207010182,0.350048306,0.02823593
